Quarter,Total Revenue
2008Q4,5565.00 
2009Q1,5077.40 
2009Q2,5647.20 
2009Q3,6046.70 
2009Q4,5973.40 
2010Q1,5610.10 
2010Q2,5945.50 
2010Q3,6304.90 
2010Q4,6214.10 
2011Q1,6111.60 
2011Q2,6905.40 
2011Q3,7166.30 
2011Q4,6822.70 
2012Q1,6546.60 
2012Q2,6915.90 
2012Q3,7152.40 
2012Q4,6952.10 
2013Q1,6605.30 
2013Q2,7083.80 
2013Q3,7323.40 
2013Q4,7093.20 
2014Q1,6700.30 
2014Q2,7181.70 
2014Q3,6987.10 
2014Q4,6572.20 
2015Q1,5958.90 
2015Q2,6497.70 
2015Q3,6615.10 
2015Q4,6341.30 
2016Q1,5903.90 
2016Q2,6265.00 
2016Q3,6424.10 
2016Q4,6028.90 
2017Q1,5675.90 
2017Q2,6049.70 
2017Q3,5754.60 
2017Q4,5340.20 
2018Q1,5138.90 
2018Q2,5353.90 
2018Q3,5369.40 
2018Q4,5163.00 
2019Q1,4955.60 
2019Q2,5341.30 
2019Q3,5430.60 
2019Q4,5349.00 
2020Q1,4714.40 
2020Q2,3761.50 
2020Q3,5418.10 
2020Q4,5314.00 
2021Q1,5124.60 
2021Q2,5887.90 
2021Q3,6201.30 
2021Q4,6009.20 
2022Q1,5665.60 
2022Q2,5718.40 
2022Q3,5872.10 
2022Q4,5966.90 
2023Q1,5897.80 
2023Q2,6497.50 
2023Q3,6692.20 
2023Q4,6406.50 
2024Q1,6169.00 
2024Q2,6490.00 
2024Q3,6873.00 
2024Q4,6388.00 
