Date,Policy Rate,PolicyRate_Chg%,Treasury_2yr,2yrY_Chg%,Treasury_5yr,5yrY_Chg%,Treasury_7yr,7yrY_Chg%,Treasury_10yr,10yrY_Chg%,Treasury_Lt,Lt_Chg%,10-2 Spread,10-2_Chg%,Corporate,CorporateY_Chg%,Credit Spread,CreditSpread_Chg%
2023-12-31,5.25%,,4.02%,,3.34%,,3.26%,,3.23%,,3.07%,,-0.78%,,4.99%,,1.65%,
2024-01-31,5.25%,0.00%,4.00%,-0.01%,3.42%,0.08%,3.33%,0.07%,3.35%,0.11%,3.28%,0.21%,-0.66%,0.13%,5.02%,0.02%,1.60%,-0.06%
2024-02-29,5.25%,0.00%,4.18%,0.18%,3.60%,0.18%,3.50%,0.17%,3.50%,0.16%,3.38%,0.10%,-0.68%,-0.02%,5.09%,0.02%,1.49%,-0.11%
2024-03-31,5.25%,0.00%,4.13%,-0.05%,3.51%,-0.09%,3.43%,-0.07%,3.44%,-0.06%,3.35%,-0.03%,-0.69%,-0.01%,4.98%,-0.02%,1.47%,-0.02%
2024-04-30,5.25%,0.00%,4.25%,0.12%,3.74%,0.23%,3.68%,0.25%,3.70%,0.25%,3.60%,0.25%,-0.56%,0.13%,5.14%,0.22%,1.40%,-0.07%
2024-05-31,5.25%,0.00%,4.22%,-0.03%,3.70%,-0.03%,3.65%,-0.03%,3.64%,-0.05%,3.51%,-0.08%,-0.58%,-0.03%,5.06%,-0.17%,1.35%,-0.05%
2024-06-30,5.00%,-0.25%,3.94%,-0.28%,3.42%,-0.28%,3.38%,-0.27%,3.39%,-0.25%,3.30%,-0.21%,-0.55%,0.03%,4.82%,-0.13%,1.40%,0.04%
2024-07-31,4.75%,-0.25%,3.78%,-0.16%,3.37%,-0.06%,3.36%,-0.01%,3.41%,0.02%,3.38%,0.08%,-0.37%,0.18%,4.78%,-0.37%,1.41%,0.01%
2024-08-31,4.75%,0.00%,3.28%,-0.49%,2.97%,-0.39%,3.00%,-0.37%,3.08%,-0.33%,3.16%,-0.23%,-0.21%,0.16%,4.42%,-0.08%,1.44%,0.04%
2024-09-30,4.50%,-0.25%,2.99%,-0.30%,2.76%,-0.21%,2.83%,-0.17%,2.94%,-0.13%,3.12%,-0.04%,-0.04%,0.17%,4.20%,-0.34%,1.44%,-0.01%
