Ticker,Name,Sector,Asset Class,As of Date,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,FX Rate,Maturity,Coupon (%),Market Currency,Effective Date
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"88,299,089.99",1.34,"88,299,089.99","100,002,000.00","100,002,000.00",88.05,Canada,-,CAD,6.81,1,1-Jun-31,1.5,CAD,26-Apr-21
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"80,842,628.78",1.22,"80,842,628.78","105,266,000.00","105,266,000.00",76.46,Canada,-,CAD,20.02,1,1-Dec-51,2,CAD,22-Dec-17
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"78,453,584.57",1.19,"78,453,584.57","89,613,000.00","89,613,000.00",87.3,Canada,-,CAD,7.24,1,1-Dec-31,1.5,CAD,25-Oct-21
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"76,242,462.43",1.15,"76,242,462.43","86,274,000.00","86,274,000.00",88.16,Canada,-,CAD,5.98,1,1-Jun-30,1.25,CAD,26-Jul-19
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"71,889,714.86",1.09,"71,889,714.86","70,700,000.00","70,700,000.00",100.56,Canada,-,CAD,1.66,1,1-Nov-25,4.5,CAD,4-Aug-23
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"68,092,939.50",1.03,"68,092,939.50","75,207,000.00","75,207,000.00",90.21,Canada,-,CAD,7.53,1,1-Jun-32,2,CAD,16-Mar-22
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"66,861,907.73",1.01,"66,861,907.73","67,055,000.00","67,055,000.00",99.17,Canada,-,CAD,8.31,1,1-Dec-33,3.25,CAD,26-Jun-23
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"65,120,745.46",0.98,"65,120,745.46","64,734,000.00","64,734,000.00",99.24,Canada,-,CAD,4.17,1,1-Sep-28,3.25,CAD,21-Apr-23
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"64,617,529.08",0.98,"64,617,529.08","68,298,000.00","68,298,000.00",94.4,Canada,-,CAD,1.55,1,1-Sep-25,0.5,CAD,3-Apr-20
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"64,364,048.17",0.97,"64,364,048.17","90,132,000.00","90,132,000.00",71.12,Canada,-,CAD,21.53,1,1-Dec-53,1.75,CAD,3-Aug-21
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"64,048,121.31",0.97,"64,048,121.31","68,176,000.00","68,176,000.00",93.53,Canada,-,CAD,7.79,1,1-Dec-32,2.5,CAD,8-Aug-22
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"61,461,240.51",0.93,"61,461,240.51","61,100,000.00","61,100,000.00",98.85,Canada,-,CAD,1.42,1,1-Aug-25,3.5,CAD,12-May-23
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"60,193,408.64",0.91,"60,193,408.64","72,544,000.00","72,544,000.00",82.89,Canada,-,CAD,6.6,1,1-Dec-30,0.5,CAD,5-Oct-20
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"58,738,458.06",0.89,"58,738,458.06","61,371,000.00","61,371,000.00",95.25,Canada,-,CAD,8.09,1,1-Jun-33,2.75,CAD,6-Feb-23
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"53,637,082.26",0.81,"53,637,082.26","52,555,000.00","52,555,000.00",100.96,Canada,-,CAD,1.88,1,1-Feb-26,4.5,CAD,1-Nov-23
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"50,593,350.88",0.77,"50,593,350.88","51,342,000.00","51,342,000.00",97.4,Canada,-,CAD,3.34,1,1-Sep-27,2.75,CAD,13-May-22
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"47,925,289.22",0.72,"47,925,289.22","47,874,000.00","47,874,000.00",99.17,Canada,-,CAD,1.19,1,1-May-25,3.75,CAD,10-Feb-23
CAN,CANADA (GOVERNMENT OF),Federal,Fixed Income,2024/1/31,"47,301,531.62",0.72,"47,301,531.62","46,587,000.00","46,587,000.00",100.08,Canada,-,CAD,3.72,1,1-Mar-28,3.5,CAD,21-Oct-22
