Ticker,Name,Sector,Asset Class,As of Date,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
RY,ROYAL BANK OF CANADA,Financials,Equity,2024/1/31,"662,273,290.30",6.11,"662,273,290.30","5,047,430.00",131.21,Canada,Toronto Stock Exchange,CAD,1,CAD
TD,TORONTO DOMINION,Financials,Equity,2024/1/31,"537,192,346.99",4.95,"537,192,346.99","6,577,597.00",81.67,Canada,Toronto Stock Exchange,CAD,1,CAD
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,2024/1/31,"466,819,831.95",4.3,"466,819,831.95","4,337,265.00",107.63,Canada,Toronto Stock Exchange,CAD,1,CAD
ENB,ENBRIDGE INC,Energy,Equity,2024/1/31,"365,231,766.90",3.37,"365,231,766.90","7,650,435.00",47.74,Canada,Toronto Stock Exchange,CAD,1,CAD
CP,CANADIAN PACIFIC KANSAS CITY LTD,Industrials,Equity,2024/1/31,"362,842,645.26",3.35,"362,842,645.26","3,353,754.00",108.19,Canada,Toronto Stock Exchange,CAD,1,CAD
CNR,CANADIAN NATIONAL RAILWAY,Industrials,Equity,2024/1/31,"350,309,048.28",3.23,"350,309,048.28","2,100,426.00",166.78,Canada,Toronto Stock Exchange,CAD,1,CAD
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,Equity,2024/1/31,"335,509,710.48",3.09,"335,509,710.48","3,899,462.00",86.04,Canada,Toronto Stock Exchange,CAD,1,CAD
BMO,BANK OF MONTREAL,Financials,Equity,2024/1/31,"328,599,266.64",3.03,"328,599,266.64","2,594,751.00",126.64,Canada,Toronto Stock Exchange,CAD,1,CAD
BN,BROOKFIELD CORP CLASS A,Financials,Equity,2024/1/31,"274,590,773.44",2.53,"274,590,773.44","5,146,004.00",53.36,Canada,Toronto Stock Exchange,CAD,1,CAD
BNS,BANK OF NOVA SCOTIA,Financials,Equity,2024/1/31,"272,751,310.06",2.51,"272,751,310.06","4,338,338.00",62.87,Canada,Toronto Stock Exchange,CAD,1,CAD
CSU,CONSTELLATION SOFTWARE INC,Information Technology,Equity,2024/1/31,"263,584,529.10",2.43,"263,584,529.10","70,935.00","3,715.86",Canada,Toronto Stock Exchange,CAD,1,CAD
ATD,ALIMENTATION COUCHE TARD INC,Consumer Staples,Equity,2024/1/31,"207,675,109.20",1.91,"207,675,109.20","2,636,140.00",78.78,Canada,Toronto Stock Exchange,CAD,1,CAD
SU,SUNCOR ENERGY INC,Energy,Equity,2024/1/31,"207,510,524.76",1.91,"207,510,524.76","4,661,063.00",44.52,Canada,Toronto Stock Exchange,CAD,1,CAD
CM,CANADIAN IMPERIAL BANK OF COMMERCE,Financials,Equity,2024/1/31,"202,190,991.24",1.86,"202,190,991.24","3,327,699.00",60.76,Canada,Toronto Stock Exchange,CAD,1,CAD
TRP,TC ENERGY CORP,Energy,Equity,2024/1/31,"198,059,846.40",1.83,"198,059,846.40","3,734,160.00",53.04,Canada,Toronto Stock Exchange,CAD,1,CAD
MFC,MANULIFE FINANCIAL CORP,Financials,Equity,2024/1/31,"193,869,979.52",1.79,"193,869,979.52","6,523,216.00",29.72,Canada,Toronto Stock Exchange,CAD,1,CAD
WCN,WASTE CONNECTIONS INC,Industrials,Equity,2024/1/31,"193,538,661.39",1.78,"193,538,661.39","927,309.00",208.71,United States,Toronto Stock Exchange,CAD,1,CAD
BCE,BCE INC,Communication,Equity,2024/1/31,"178,129,061.25",1.64,"178,129,061.25","3,283,485.00",54.25,Canada,Toronto Stock Exchange,CAD,1,CAD
SLF,SUN LIFE FINANCIAL INC,Financials,Equity,2024/1/31,"146,557,442.79",1.35,"146,557,442.79","2,102,991.00",69.69,Canada,Toronto Stock Exchange,CAD,1,CAD
IFC,INTACT FINANCIAL CORP,Financials,Equity,2024/1/31,"134,943,916.50",1.24,"134,943,916.50","641,826.00",210.25,Canada,Toronto Stock Exchange,CAD,1,CAD
ABX,BARRICK GOLD CORP,Materials,Equity,2024/1/31,"132,689,235.00",1.22,"132,689,235.00","6,318,535.00",21,Canada,Toronto Stock Exchange,CAD,1,CAD
T,TELUS CORP,Communication,Equity,2024/1/31,"126,056,127.12",1.16,"126,056,127.12","5,234,889.00",24.08,Canada,Toronto Stock Exchange,CAD,1,CAD
NA,NATIONAL BANK OF CANADA,Financials,Equity,2024/1/31,"125,192,234.44",1.15,"125,192,234.44","1,217,468.00",102.83,Canada,Toronto Stock Exchange,CAD,1,CAD
NTR,NUTRIEN LTD,Materials,Equity,2024/1/31,"119,330,462.56",1.1,"119,330,462.56","1,779,989.00",67.04,Canada,Toronto Stock Exchange,CAD,1,CAD
